Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
diamond bright pool colors,96,96,90,12,1.29,https://thewaterhobby.com/marcite-vs-diamond-brite/,0,0,0.00,0.71,12100000,"[41,64,52,41,29,23,17,29,52,100,52,52]",2023-07-22,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",informational,Organic
pentair vs polaris booster pump,13,13,20,14,1.13,https://thewaterhobby.com/polaris-vs-pentair-cleaner/,0,0,0.00,1,87,"[11,11,11,11,11,11,11,11,11,11,11,11]",2023-07-21,"Image pack, Sitelinks, Reviews, Image, Shopping ads, People also ask, Indented",commercial,Organic
intellichlor ic40 no power,19,19,20,0,1.82,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.9,37,"[66,66,66,66,0,0,0,66,66,66,66,66]",2023-08-08,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
generic t-cell 5 replacement,67,67,20,0,1.15,https://thewaterhobby.com/generic-t-cell-15-replacements-review/,0,0,0.00,1,32300000,"[22,0,0,22,22,22,22,0,22,22,22,22]",2023-07-19,"Image pack, Sitelinks, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",transactional,Organic
tf-100,90,90,140,21,0.42,https://thewaterhobby.com/tf-100-vs-k-2006/,0,0,0.00,0.61,440000000,"[81,22,10,18,22,0,35,0,35,0,66,54]",2023-08-14,"Knowledge panel, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
t-cell 15 salt cell replacement,73,73,20,7,3.89,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,40300000,"[6,6,6,6,6,6,6,6,6,6,12,6]",2023-07-21,"Image pack, Reviews, Image, Ads top, Ads bottom, Shopping ads, Video Carousel, People also ask, Indented, Popular products, Related searches",transactional,Organic
pentair screenlogic remote setup,41,41,30,41,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0.21,66,"[7,7,7,7,7,15,11,11,11,11,11,11]",2023-08-12,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches",informational,Organic
stonescapes tropics blue,15,15,140,15,0.00,https://thewaterhobby.com/tropics-blue-vs-midnight-blue/,0,0,0.00,0.22,24,"[65,53,53,53,42,53,34,42,65,65,65,65]",2023-07-30,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
hot tub won't heat up past 80 degrees,13,13,50,11,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.03,21500000,"[9,9,6,12,15,15,21,34,21,15,6,9]",2023-07-24,"Reviews, Featured snippet, Video Carousel, People also ask, FAQ, Indented, Related searches",informational,Organic
waterguru sense 2,60,60,110,29,7.36,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,59,"[4,100]",2023-07-20,"Knowledge panel, Sitelinks, Reviews, Image, Ads top, People also ask, Related searches","informational, transactional",Organic
most popular stonescapes mini pebble color,16,16,40,21,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.12,29,"[64,52,29,23,29,11,11,11,11,11,11,11]",2023-07-29,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
intellichlor salt level,83,83,110,13,1.27,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.52,95,"[65,53,34,26,15,15,19,11,26,80,100,65]",2023-08-11,"Image pack, Reviews, Featured snippet, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
return jet for above ground pool,87,87,40,13,0.41,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,1,10300000,"[12,2,2,2,2,2,2,2,2,2,12,12]",2023-08-08,"Image pack, Reviews, Video, Image, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches",commercial,Organic
jets in pools,94,94,30,22,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0.95,8370000,"[100,18,18,18,18,18,18,18,18,18,18,18]",2023-08-02,"Reviews, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
dimond brite,88,88,70,14,1.84,https://thewaterhobby.com/marcite-vs-diamond-brite/,0,0,0.00,1,7470000,"[35,50,35,64,28,14,14,7,64,78,64,100]",2023-08-09,"Image pack, Sitelinks, Reviews, Image, People also ask, Popular products","informational, transactional",Organic
k-2006,85,85,50,38,0.49,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,2340000000,"[100,80,0,0,19,19,0,9,14,4,0,52]",2023-07-31,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","informational, transactional",Organic
midnight blue quartz pool finish,73,73,30,4,0.00,https://thewaterhobby.com/tropics-blue-vs-midnight-blue/,0,0,0.00,1,1500000,"[11,11,11,11,11,11,11,11,11,64,11,11]",2023-08-14,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches",informational,Organic
pollen or algae in pool,49,49,30,19,0.00,https://thewaterhobby.com/mustard-algae-or-pollen/,0,0,0.00,0.04,3020000,"[22,6,4,4,4,4,0,4,4,4,4,10]",2023-07-24,"Image pack, Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
aqua leader,91,91,90,13,1.42,https://thewaterhobby.com/aqua-leader-pool-reviews/,0,0,0.00,1,25800000,"[66,42,33,14,14,9,19,23,33,52,80,100]",2023-08-12,"Image pack, Sitelinks, Reviews, Video, Image, Related searches",navigational,Organic
generic salt cell,63,51,20,7,1.89,https://thewaterhobby.com/generic-t-cell-15-replacements-review/,0,0,0.00,1,87,"[11,7,7,7,7,7,7,7,7,7,7,7]",2023-08-15,"Sitelinks, Reviews, Video, Image, Ads bottom, Shopping ads, People also ask, Popular products, Related searches",commercial,Organic
taylor test kit k-2006,82,82,90,21,0.43,https://thewaterhobby.com/taylor-k-2006-vs-k-2006c/,0,0,0.00,1,98,"[80,80,0,33,0,19,23,0,42,52,100,80]",2023-08-06,"Knowledge panel, Reviews, Image, People also ask, Indented, Related searches","informational, transactional",Organic
diamond brite pool finishes,95,95,90,11,1.74,https://thewaterhobby.com/marcite-vs-diamond-brite/,0,0,0.00,1,221000,"[53,53,42,42,34,34,26,26,7,34,53,42]",2023-08-03,"Image pack, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches","commercial, informational",Organic
ic40 troubleshooting,16,16,20,3,1.20,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.14,36,"[66,66,66,66,66,0,0,66,66,66,66,66]",2023-08-10,"Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
blue granite pebble sheen,59,59,390,4,0.19,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.62,70,"[55,55,16,13,16,13,16,24,30,30,36,30]",2023-08-09,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
aqualeader pools,69,69,40,11,1.36,https://thewaterhobby.com/aqua-leader-pool-reviews/,0,0,0.00,1,81,"[35,35,14,7,0,0,14,35,50,50,50,64]",2023-08-13,"Sitelinks, Reviews, Video, Image, Indented, Related searches",navigational,Organic
which way should pool jets face,29,29,40,11,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0,17200000,"[52,33,9,9,9,9,9,9,9,9,19,52]",2023-07-25,"Sitelinks, Reviews, Featured snippet, People also ask, Indented",informational,Organic
aqua genie pool skimmer,71,71,20,9,0.89,https://thewaterhobby.com/aqua-genie-skimmer-problems/,0,0,0.00,1,74,"[22,22,22,22,22,22,22,22,22,22,22,22]",2023-08-07,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
how to increase total hardness in pool,42,42,90,35,0.64,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,3960000,"[65,34,6,6,6,6,6,6,6,21,53,100]",2023-08-09,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
sutro pool monitoring system,57,57,20,18,3.01,https://thewaterhobby.com/sutro-vs-phin/,0,0,0.00,1,68,"[100,100,100,100,100,100,100,100,100,100,100,100]",2023-08-14,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
sutro water monitoring system for pool & spa,63,63,20,36,2.91,https://thewaterhobby.com/best-hot-tub-water-monitoring-system/,0,0,0.00,1,65,"[0,0,18,18,18,18,18,18,18,18,18,100]",2023-08-07,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
sutro water monitoring system for pool & spa,64,64,20,36,2.91,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,65,"[0,0,18,18,18,18,18,18,18,18,18,100]",2023-08-07,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
tahoe blue stonescapes,35,35,70,15,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,0.08,40,"[78,50,50,28,35,28,35,28,28,50,50,64]",2023-07-28,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
hot tub doesn't heat up,65,65,30,38,0.00,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,0.09,41800000,"[23,100,11,11,11,11,11,11,11,11,11,11]",2023-08-09,"Image pack, Sitelinks, Featured snippet, Video Carousel, People also ask, FAQ, Indented, Related searches",informational,Organic
stonescape pool,60,60,40,25,3.45,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.24,87,"[36,27,27,18,18,18,18,18,18,18,100,100]",2023-08-02,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
polaris won't move,27,27,40,8,0.00,https://thewaterhobby.com/polaris-380-wheels-not-turning/,0,0,0.00,0,24400000,"[100,22,77,22,44,77,22,77,22,22,22,22]",2023-07-23,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
jandy vs hayward pool pumps,2,2,20,0,1.17,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,1,483000,"[40,40,40,40,40,40,40,40,40,40,40,40]",2023-07-21,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
sutro test cartridge,69,69,20,5,3.61,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,75,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-07-27,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, Indented, Related searches",informational,Organic
proper swimming pool return jets position,35,35,50,13,0.00,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,0.03,3530000,"[14,9,9,9,9,9,9,9,9,23,80,66]",2023-08-12,"Sitelinks, Reviews, Featured snippet, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
how to lower chlorine level in hot tub,91,91,140,27,0.00,https://thewaterhobby.com/how-to-lower-chlorine-in-hot-tub-naturally/,0,0,0.00,0.02,9430000,"[82,64,82,82,82,64,82,82,64,82,82,82]",2023-08-13,"Video, Featured snippet, People also ask, FAQ, Related searches",informational,Organic
old hot spring spa models,98,98,110,28,1.79,https://thewaterhobby.com/bullfrog-vs-hot-springs/,0,0,0.00,1,38900000,"[100,100,100,2,10,0,0,23,5,10,10,10]",2023-07-23,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
sutro pool monitor,79,79,480,36,1.20,https://thewaterhobby.com/sutro-vs-phin/,0,0,0.00,1,84,"[48,32,48,17,17,17,14,32,59,88,100,100]",2023-08-05,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Ads top, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
screen logic app,67,60,110,40,0.00,https://thewaterhobby.com/pentair-screenlogic-will-not-connect-locally-remotely/,0,0,0.00,0.02,82,"[15,19,15,11,15,19,34,42,42,65,100,80]",2023-08-16,"Reviews, Video, People also ask, Indented, Related searches","informational, transactional",Organic
pool phosphate reducer,83,83,50,21,0.64,https://thewaterhobby.com/best-phosphate-remover/,0,0,0.00,1,381000,"[100,0,43,0,0,9,0,0,0,0,28,6]",2023-07-27,"Reviews, Video, Image, Shopping ads, People also ask, Popular products, Related searches",commercial,Organic
ecosmarte pool,63,63,20,5,1.43,https://thewaterhobby.com/ecosmarte-review/,0,0,0.00,0.8,64,"[11,11,11,11,11,11,11,11,11,11,11,11]",2023-08-01,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, People also ask, FAQ, Indented, Related searches","navigational, transactional",Organic
pebble tec pool vs plaster,57,57,20,16,0.98,https://thewaterhobby.com/mini-pebble-vs-pebble-tec/,0,0,0.00,0.1,82,"[5,5,5,5,5,5,5,5,5,5,5,5]",2023-07-27,"Reviews, People also ask, Indented, Related searches",commercial,Organic
what does yellow algae look like in a pool,65,65,110,19,0.00,https://thewaterhobby.com/what-does-mustard-algae-look-like/,0,0,0.00,0.02,19800000,"[100,43,10,6,4,4,4,4,8,18,29,43]",2023-08-05,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
will baking soda lower chlorine level in pool,90,0,480,23,0.00,https://thewaterhobby.com/will-baking-soda-lower-chlorine-level-in-pool/,0,0,0.00,0,668000,"[84,52,25,7,5,4,5,5,7,8,31,52]",2023-08-15,"Sitelinks, Featured snippet, Video Carousel, People also ask, Indented, Related searches",informational,Organic
mini pebbles,62,62,110,4,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,1,15200000,"[52,52,66,66,52,42,42,42,66,52,66,52]",2023-07-31,"Image pack, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
sun shelf umbrella sleeve,41,41,30,23,0.30,https://thewaterhobby.com/pool-umbrella-sleeve-too-big-or-small/,0,0,0.00,1,76,"[52,52,9,9,9,9,9,9,9,9,9,9]",2023-07-26,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Shopping ads, Indented, Popular products, Related searches","informational, transactional",Organic
endless pools review,8,8,30,29,2.22,https://thewaterhobby.com/endless-pool-complaints/,0,0,0.00,0.38,7090000,"[42,71,42,57,28,14,0,42,28,42,28,100]",2023-08-08,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, FAQ, Related searches",commercial,Organic
how to raise pool hardness,54,54,170,36,0.77,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,0.99,1350000,"[81,36,19,9,5,2,5,6,6,19,44,66]",2023-08-08,"Image pack, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
how to increase calcium hardness in pool,71,71,210,36,0.64,https://thewaterhobby.com/cheapest-way-to-increase-calcium-hardness/,0,0,0.00,1,5550000,"[81,66,44,23,15,6,5,6,5,15,29,81]",2023-07-25,"Image pack, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
swimming pool return jets,38,38,40,10,0.42,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,1,21400000,"[64,64,11,11,11,11,11,11,11,11,11,64]",2023-07-20,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
bullfrog a7l price,68,68,50,9,1.28,https://thewaterhobby.com/bullfrog-vs-hot-springs/,0,0,0.00,0.91,70,"[45,63,45,63,63,45,27,18,36,45,100,36]",2023-07-22,"Sitelinks, Reviews, Featured snippet, Image, Ads bottom, People also ask, Indented, Related searches",transactional,Organic
sutro smart monitor reviews,46,46,20,21,3.46,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,0.61,54,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-08-08,"Reviews, People also ask, Related searches",commercial,Organic
pentair pool heater vs hayward,88,88,20,0,1.94,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.88,780000,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-08-10,"Image pack, Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, Indented, Related searches","commercial, informational",Organic
which is better pentair or hayward,85,85,20,7,1.06,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.59,4180000,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-08-10,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
sutro pool tester,74,74,20,29,2.39,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,86,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-08-06,"Sitelinks, Reviews, Image, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
sutro pool tester,75,75,20,29,2.39,https://thewaterhobby.com/sutro-vs-phin/,0,0,0.00,1,86,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-08-06,"Sitelinks, Reviews, Image, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
sutro pool monitor cost,47,47,30,24,0.00,https://thewaterhobby.com/sutro-vs-phin/,0,0,0.00,0,60,"[100,14,14,14,14,14,14,14,14,14,14,14]",2023-07-30,"Knowledge panel, Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
generic t-cell 15 replacement reviews,16,16,90,0,2.26,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,88,"[65,53,28,12,6,6,9,12,21,34,43,34]",2023-08-06,"Sitelinks, Reviews, Image, Ads bottom, Shopping ads, Popular products, Related searches",commercial,Organic
pentair intellichlor diagnostic,24,24,20,1,1.54,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.9,33,"[100,100,100,100,0,100,100,100,100,100,100,100]",2023-08-10,"Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
best bullfrog hot tub,97,97,20,25,1.01,https://thewaterhobby.com/bullfrog-vs-hot-springs/,0,0,0.00,0.27,846000,"[66,66,66,66,66,66,66,66,66,66,66,66]",2023-08-10,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches",commercial,Organic
aquarite t cell 15 replacement,73,73,20,5,2.47,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,84,"[14,14,14,0,14,14,14,14,14,14,14,14]",2023-08-15,"Image pack, Reviews, Video, Image, Ads top, Ads bottom, Shopping ads, People also ask, Indented, Popular products, Related searches",commercial,Organic
caldera spa control panel not working,33,33,30,25,0.00,https://thewaterhobby.com/caldera-spa-4-dashes-on-display/,0,0,0.00,0.09,45,"[21,14,21,21,21,28,28,14,14,14,14,14]",2023-07-29,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
tahoe blue pool plaster colors,78,78,90,14,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,0.99,98,"[52,52,42,33,33,19,14,23,33,33,42,52]",2023-07-24,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches",informational,Organic
thermospa heater replacement,70,70,20,7,3.92,https://thewaterhobby.com/hot-tub-wont-heat/,0,0,0.00,1,71,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-08-05,"Image pack, Sitelinks, Reviews, Video, Image, Ads bottom, Indented, Related searches",commercial,Organic
pentair vs hayward salt system,69,69,20,0,1.08,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,1,96,"[66,66,66,66,66,0,66,66,0,66,66,66]",2023-08-10,"Image pack, Sitelinks, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",commercial,Organic
intellichlor ic40 cell light off,30,30,20,6,0.92,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,1,36,"[9,9,9,9,9,0,9,9,9,9,9,9]",2023-08-09,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair intellichlor salt level,60,60,50,15,1.33,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.87,96,"[78,50,50,28,14,14,14,14,14,14,50,50]",2023-07-27,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pool return jets,83,83,590,15,0.42,https://thewaterhobby.com/how-many-return-jets/,0,0,0.00,1,8560000,"[68,37,31,20,13,8,8,11,16,31,84,52]",2023-08-05,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
pool mini pebble,47,47,30,26,0.00,https://thewaterhobby.com/stonescapes-mini-pebble-review/,0,0,0.00,0.66,94,"[18,100,27,18,9,18,18,18,18,18,18,100]",2023-07-21,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
pentair chlorine generator troubleshooting,33,33,20,21,1.48,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.32,46,"[66,66,66,66,66,0,66,0,66,66,66,66]",2023-08-10,"Video Carousel, People also ask, Indented, Related searches",informational,Organic
jacuzzi vs hayward pool pump,82,82,20,24,1.02,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.99,94,"[22,33,22,22,22,22,22,22,22,22,22,33]",2023-07-22,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, informational",Organic
salt pool store complaints,78,78,30,22,1.35,https://thewaterhobby.com/platinum-edition-salt-cell-review/,0,0,0.00,0.29,3950000,"[100,80,40,60,40,40,40,40,40,100,80,60]",2023-08-05,"Reviews, Indented, Related searches",transactional,Organic
pentair vs hayward sand filter,92,92,20,11,1.22,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,1,970000,"[7,7,7,7,7,7,7,7,7,7,7,7]",2023-07-22,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",commercial,Organic
t-15 cell replacement,84,84,40,8,3.89,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,276000000,"[26,15,15,3,3,0,0,0,0,0,0,100]",2023-07-22,"Image pack, Reviews, Image, Shopping ads, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
pentair cleaners,100,100,20,25,1.07,https://thewaterhobby.com/polaris-vs-pentair-cleaner/,0,0,0.00,1,1570000,"[100,75,25,25,50,25,0,0,75,50,75,75]",2023-08-10,"Sitelinks, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches",transactional,Organic
hayward vs pentair pool equipment,97,97,20,8,2.44,https://thewaterhobby.com/jandy-vs-hayward/,0,0,0.00,0.71,1810000,"[66,66,66,66,66,66,66,66,66,66,66,66]",2023-07-22,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",commercial,Organic
white diamonds pebble sheen,90,90,90,1,0.09,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.58,93,"[26,34,34,26,34,34,26,19,53,53,53,42]",2023-08-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pentair intellichlor reset,46,46,20,7,1.70,https://thewaterhobby.com/pentair-intellichlor-ic40-not-producing-chlorine/,0,0,0.00,0.1,61,"[100,66,66,66,66,66,66,0,66,66,66,66]",2023-08-10,"Image pack, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
blue surf pebble tec,42,42,30,14,0.00,https://thewaterhobby.com/mini-pebble-vs-pebble-sheen/,0,0,0.00,0.33,51,"[78,14,14,14,14,14,14,14,14,14,14,21]",2023-07-28,"Image pack, Sitelinks, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
pictures of mustard algae in pool,31,31,170,9,0.00,https://thewaterhobby.com/mustard-algae-or-sand-heres-how-to-know/,0,0,0.00,0.01,452000,"[100,54,15,3,3,3,3,3,6,15,66,100]",2023-08-08,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
pictures of mustard algae in pool,32,32,170,9,0.00,https://thewaterhobby.com/what-does-mustard-algae-look-like/,0,0,0.00,0.01,452000,"[100,54,15,3,3,3,3,3,6,15,66,100]",2023-08-08,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
jacuzzi has 4 dashes on display,49,49,30,1,0.00,https://thewaterhobby.com/,0,0,0.00,0.01,69,"[7,7,7,11,15,11,11,11,7,7,7,7]",2023-08-01,"Image pack, Sitelinks, Video Carousel, People also ask, Indented, Related searches",informational,Organic
the truth about salt water pools,84,84,260,36,0.13,https://thewaterhobby.com/are-salt-water-pools-warmer/,0,0,0.00,0.07,96,"[81,54,35,28,18,8,23,35,54,44,54,100]",2023-08-12,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
midnight blue pebble pool finish,37,37,30,0,0.00,https://thewaterhobby.com/tropics-blue-vs-midnight-blue/,0,0,0.00,0.99,647000,"[9,9,9,9,9,9,9,9,19,52,9,9]",2023-08-11,"Image pack, Reviews, Video, Image, Indented, Popular products, Related searches",informational,Organic
hydrogen peroxide for hot tub,52,52,40,11,0.68,https://thewaterhobby.com/hydrogen-peroxide-to-lower-chlorine-in-hot-tub/,0,0,0.00,1,820000,"[42,42,42,57,57,42,57,42,42,57,71,100]",2023-08-07,"Image pack, Reviews, Featured snippet, Image, People also ask, Indented",informational,Organic
turbo cell 15 replacement,93,93,20,9,3.41,https://thewaterhobby.com/best-t-cell-15-replacement/,0,0,0.00,1,265000000,"[0,9,9,9,9,9,9,9,9,9,9,9]",2023-08-14,"Reviews, Video, Image, Shopping ads, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
sense waterguru,59,59,20,41,4.71,https://thewaterhobby.com/waterguru-vs-sutro/,0,0,0.00,1,62,"[100,50,0,0,0,0,14,14,14,0,0,0]",2023-07-18,"Knowledge panel, Sitelinks, Reviews, Image, Ads top, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
tahoe blue quartz pool finish,82,82,70,0,0.00,https://thewaterhobby.com/tropics-blue-vs-tahoe-blue/,0,0,0.00,1,93,"[34,26,19,15,11,11,26,11,42,42,42,42]",2023-08-13,"Image pack, Reviews, Video, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
